[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] All Loaded Objects:


[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] EndlessRoundInfo (UnityEngine.GameObject) (4 children). Pos: Local (5500.0, 1000.0, 0.0) / Global (5500.0, 1000.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestLabel (UnityEngine.GameObject) (2 children). Pos: Local (1.0, 90.0, 0.0) / Global (5421.5, 793.8, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIcon (UnityEngine.GameObject) (0 children). Pos: Local (62.0, 0.0, 0.0) / Global (5449.5, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIconRight (UnityEngine.GameObject) (0 children). Pos: Local (-63.1, 0.0, 0.0) / Global (5393.1, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Camera (UnityEngine.GameObject) (0 children). Pos: Local (-78.9, -246.8, 0.4) / Global (5421.1, 753.2, 0.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     EndlessRoundInfoCanvasDownstairs (UnityEngine.GameObject) (2 children). Pos: Local (-78.9, -246.8, 100.4) / Global (5421.1, 753.2, 100.4). Scale: (0.2, 0.2, 0.2)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         Panel (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (5421.1, 753.2, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             tierName (1) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -76.0, 0.0) / Global (5421.1, 718.9, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             roundNumberLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 30.0, 0.0) / Global (5421.1, 766.7, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             ChallengePlaytestLabel (1) (UnityEngine.GameObject) (2 children). Pos: Local (1.0, 90.0, 0.0) / Global (5421.5, 793.8, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIcon (UnityEngine.GameObject) (0 children). Pos: Local (62.0, 0.0, 0.0) / Global (5449.5, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIconRight (UnityEngine.GameObject) (0 children). Pos: Local (-63.1, 0.0, 0.0) / Global (5393.1, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         PlaytestPanel (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (5421.1, 753.2, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestTierName (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -76.0, 0.0) / Global (5421.1, 718.9, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestRoundNumberLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 9.0, 0.0) / Global (5421.1, 757.2, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestLabel (UnityEngine.GameObject) (2 children). Pos: Local (1.0, 90.0, 0.0) / Global (5421.5, 793.8, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIcon (UnityEngine.GameObject) (0 children). Pos: Local (62.0, 0.0, 0.0) / Global (5449.5, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIconRight (UnityEngine.GameObject) (0 children). Pos: Local (-63.1, 0.0, 0.0) / Global (5393.1, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     CameraDownstairs (UnityEngine.GameObject) (0 children). Pos: Local (-78.9, -246.8, 0.4) / Global (5421.1, 753.2, 0.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] SwordLineRenderManager (UnityEngine.GameObject) (7 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (1) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (2) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (3) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (4) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (5) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (6) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Renderer (7) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] GlobalFireParticleSystem (UnityEngine.GameObject) (2 children). Pos: Local (0.0, 0.0, 0.2) / Global (0.0, 0.0, 0.2). Scale: (0.0, 0.0, 0.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     BigFireParticles (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.2). Scale: (2.0, 2.0, 2.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     FireParticles (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.2). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] WorkshopItemInfo (UnityEngine.GameObject) (2 children). Pos: Local (4664.3, 1000.0, 0.0) / Global (4664.3, 1000.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     WorkshopInfoCanvas (UnityEngine.GameObject) (3 children). Pos: Local (-78.9, -246.8, 100.4) / Global (4585.4, 753.2, 100.4). Scale: (0.2, 0.2, 0.2)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         topLevelBG (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 101.0, 0.0) / Global (4585.4, 776.0, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelName (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -7.7, 0.0) / Global (4585.4, 774.2, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 70.0, 0.0) / Global (4585.4, 791.7, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelAuthor (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -73.0, 0.0) / Global (4585.4, 759.5, 100.4). Scale: (0.5, 0.5, 0.5)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         bottomLevelBG (UnityEngine.GameObject) (3 children). Pos: Local (0.0, -129.0, 0.0) / Global (4585.4, 724.1, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelName (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -7.7, 0.0) / Global (4585.4, 722.3, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 70.0, 0.0) / Global (4585.4, 739.9, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelAuthor (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -73.0, 0.0) / Global (4585.4, 707.6, 100.4). Scale: (0.5, 0.5, 0.5)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         singleLevelBG (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (4585.4, 753.2, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelName (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -7.7, 0.0) / Global (4585.4, 751.4, 100.4). Scale: (1.4, 1.4, 1.4)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 107.0, 0.0) / Global (4585.4, 777.3, 100.4). Scale: (1.7, 1.7, 1.7)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             levelAuthor (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -106.0, 0.0) / Global (4585.4, 729.3, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Camera (UnityEngine.GameObject) (0 children). Pos: Local (-78.9, -246.8, 0.4) / Global (4585.4, 753.2, 0.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] FleetOverseerCamera (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 3.7, 2.5) / Global (0.0, 3.7, 2.5). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] ControlMapper (UnityEngine.GameObject) (1 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Canvas (UnityEngine.GameObject) (1 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (0.0, 0.0, 0.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         MainPageGroup (UnityEngine.GameObject) (2 children). Pos: Local (0.0, -3.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Panel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             MainContent (UnityEngine.GameObject) (2 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 exitButton (UnityEngine.GameObject) (0 children). Pos: Local (365.0, 323.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.5, 1.5, 2.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 MainContentInner (UnityEngine.GameObject) (5 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                     WindowButtonGroup (UnityEngine.GameObject) (2 children). Pos: Local (-385.0, 343.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         DoneButton (UnityEngine.GameObject) (1 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Text (UnityEngine.GameObject) (0 children). Pos: Local (71.5, -20.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         RestoreDefaultsButton (UnityEngine.GameObject) (1 children). Pos: Local (337.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Text (UnityEngine.GameObject) (0 children). Pos: Local (-92.0, -20.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                     PlayersGroup (UnityEngine.GameObject) (2 children). Pos: Local (-385.0, 343.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         Label (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         ButtonLayoutGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                     ControllerGroup (UnityEngine.GameObject) (2 children). Pos: Local (-385.0, 313.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         ControllerSettingsGroup (UnityEngine.GameObject) (2 children). Pos: Local (235.0, -38.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ControllerLabelGroup (UnityEngine.GameObject) (2 children). Pos: Local (-235.0, 38.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 ControllerLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 ControllerNameWrapper (UnityEngine.GameObject) (1 children). Pos: Local (133.5, -10.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     ControllerNameLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ButtonLayoutGroup (UnityEngine.GameObject) (3 children). Pos: Local (-235.0, -38.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 RemoveButton (UnityEngine.GameObject) (1 children). Pos: Local (75.0, 20.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     Text (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 CalibrateButton (UnityEngine.GameObject) (1 children). Pos: Local (235.0, 20.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     Text (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 AssignControllerButton (UnityEngine.GameObject) (1 children). Pos: Local (395.0, 20.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     Text (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         AssignedControllersGroup (UnityEngine.GameObject) (2 children). Pos: Local (490.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Label (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ButtonLayoutGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -36.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                     SettingAndMapCategoriesGroup (UnityEngine.GameObject) (2 children). Pos: Local (107.0, 189.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         SettingsGroup (UnityEngine.GameObject) (2 children). Pos: Local (-492.0, 18.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Label (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ButtonLayoutGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -36.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         MapCategoriesGroup (UnityEngine.GameObject) (2 children). Pos: Local (-332.0, 18.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Label (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ButtonLayoutGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -36.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                     InputGridGroup (UnityEngine.GameObject) (1 children). Pos: Local (385.0, 273.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                         InputGridContainer (UnityEngine.GameObject) (2 children). Pos: Local (-770.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             ScrollbarVert (UnityEngine.GameObject) (1 children). Pos: Local (730.0, -50.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 Sliding Area (UnityEngine.GameObject) (1 children). Pos: Local (20.0, -283.5, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     Handle (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                             Container (UnityEngine.GameObject) (2 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 HeadersGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                 ScrollRect (UnityEngine.GameObject) (1 children). Pos: Local (0.0, -50.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                                     InputGridInnerGroup (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] UICamera (UnityEngine.GameObject) (0 children). Pos: Local (450.7, 183.6, 0.4) / Global (450.7, 183.6, 0.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] World (UnityEngine.GameObject) (7 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     Lights (UnityEngine.GameObject) (1 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         Directional Light (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 3.0, 0.0) / Global (0.0, 3.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     ArenaFinal (UnityEngine.GameObject) (18 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         EditorArenaFloor (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -10.5, 0.0) / Global (0.0, -10.5, 0.0). Scale: (160.0, 21.0, 100.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (2) (UnityEngine.GameObject) (0 children). Pos: Local (84.5, -10.5, -30.0) / Global (84.5, -10.5, -30.0). Scale: (9.0, 21.0, 40.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (3) (UnityEngine.GameObject) (0 children). Pos: Local (84.5, -10.5, 30.0) / Global (84.5, -10.5, 30.0). Scale: (9.0, 21.0, 40.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         ArenaFloor (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -10.5, 0.0) / Global (0.0, -10.5, 0.0). Scale: (160.0, 21.0, 104.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (2) (UnityEngine.GameObject) (0 children). Pos: Local (90.5, -10.5, -35.0) / Global (90.5, -10.5, -35.0). Scale: (21.0, 21.0, 50.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Floor (3) (UnityEngine.GameObject) (0 children). Pos: Local (90.5, -10.5, 35.0) / Global (90.5, -10.5, 35.0). Scale: (21.0, 21.0, 50.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         ArenaGroundArrows (UnityEngine.GameObject) (5 children). Pos: Local (0.0, 0.0, 0.0) / Global (0.0, 0.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             Spotlight (UnityEngine.GameObject) (0 children). Pos: Local (60.4, 43.7, 0.0) / Global (60.4, 43.7, 0.0). Scale: (176.3, 1.0, 540.8)
